ticker,name,valuation_score,valuation_category,forward_pe,price_to_book,roe,excess_return,sector
GOOGL,Alphabet Inc.,0.6561766830527249,Strongly Undervalued,17.221339552022712,4.294697123919653,0.3157758564688984,-0.14680287703084915,Technology
TSLA,Tesla Inc.,0.8645186076040432,Strongly Undervalued,33.93415877991789,7.621172743223103,0.24422597115658976,0.25083219511022425,Technology
NVDA,NVIDIA Corp.,0.8757554122956278,Strongly Undervalued,29.68358280832689,5.092397148059897,0.2680338868514696,-0.04620996751413209,Technology
TXN,Texas Instruments,0.9791450968547295,Undervalued,31.662951168078823,7.8417943945487645,0.3124118476693528,-0.1498212039001855,Technology
AMZN,Amazon.com Inc.,1.005028158127631,Fairly Valued,41.143817705631534,11.436227506742135,0.3231397496224944,-0.20312393473440465,Technology
AMD,Advanced Micro Devices,1.0101079327656743,Fairly Valued,36.07452251961328,10.089999126828129,0.3023402888696284,0.23840267090878312,Technology
AVGO,Broadcom Inc.,1.0311256427770137,Fairly Valued,25.600566840781585,12.726639969381996,0.3435987019165416,0.26829995664596196,Technology
CRM,Salesforce Inc.,1.0609697842032644,Overvalued,28.01554947713919,7.6332316536092915,0.2587734127169109,-0.1933443447291891,Technology
MSFT,Microsoft Corp.,1.0772636976255436,Overvalued,28.20457481218804,6.256188381286751,0.1085971302788046,0.2631494707820945,Technology
ADBE,Adobe Inc.,1.080359743236333,Overvalued,29.05981925982379,9.277174130041786,0.12938156169427623,-0.20052276265509184,Technology
JNJ,Johnson & Johnson,0.9129266124143798,Undervalued,30.02401929304629,4.765338266590906,0.22660183048694665,0.07942025629501774,Health Care
ABT,Abbott Labs,0.9233087050170068,Undervalued,20.335059679682562,2.525669115426819,0.08222605762001672,-0.09047705678347176,Health Care
BMY,Bristol-Myers Squibb,0.9248451234827497,Undervalued,21.41646800039853,4.178458612154952,0.130059179122126,-0.02999679218451619,Health Care
PFE,Pfizer Inc.,0.9715017878504884,Undervalued,27.61935334032326,4.280761349550777,0.09477644897486202,-0.0037709822306461332,Health Care
AMGN,Amgen Inc.,1.06700251340093,Overvalued,27.295843514563877,3.719523028726054,0.15119098923165242,-0.023991878968790042,Health Care
TMO,Thermo Fisher,1.0768261525565768,Overvalued,33.217485767077804,2.037056184036823,0.17796902122835823,-0.07320119563901994,Health Care
ABBV,AbbVie Inc.,1.0825925241554708,Overvalued,24.805546539320385,8.478995566837078,0.21081379864262928,-0.06429118541773932,Health Care
DHR,Danaher Corp.,1.0961506285115552,Overvalued,15.591509739422378,9.170686548168959,0.0846063187255922,-0.08076758217219646,Health Care
LLY,Eli Lilly,1.1229040558795018,Overvalued,19.16960755929761,4.7655679480313555,0.0857005139050825,0.1285886097338661,Health Care
UNH,UnitedHealth Group,1.186334444211858,Strongly Overvalued,27.8790810584754,9.161654701497595,0.18674306621345432,0.0005416308374145834,Health Care
MS,Morgan Stanley,0.7258337287480943,Strongly Undervalued,14.495198944113323,0.8417977579799626,0.1432621893133948,-0.061740930066465145,Financials
USB,US Bancorp,0.769492825339529,Strongly Undervalued,10.850519899086532,0.9249444704610216,0.16543850933695792,0.15649431281735063,Financials
COF,Capital One,0.8151304148768946,Strongly Undervalued,10.125797473368632,1.4917435332288802,0.17446142194740233,-0.10731369666079899,Financials
BAC,Bank of America,0.8709511763873787,Strongly Undervalued,16.8509876190667,1.083957708356528,0.11546221576407766,-0.10641113924722753,Financials
SCHW,Charles Schwab,0.9058310575800421,Undervalued,16.630421339267166,2.032938022705732,0.1774793162146783,0.07714728241999338,Financials
BLK,BlackRock Inc.,0.9426478434958948,Undervalued,16.165991624896556,1.115393376695306,0.17508635622504104,0.130134721287697,Financials
WFC,Wells Fargo,0.9939689286034448,Fairly Valued,19.133027398342556,1.736457530035537,0.11962420189026587,-0.1507796069107858,Financials
JPM,JPMorgan Chase,1.0240838343890117,Fairly Valued,18.134592782420846,0.8361579984456582,0.08370076347154927,0.0060219523313680065,Financials
GS,Goldman Sachs,1.0362546752283799,Fairly Valued,12.173710494826317,2.063964035695733,0.10670282701694213,0.0337139823753145,Financials
C,Citigroup Inc.,1.0834244404178646,Overvalued,13.163670738793552,2.477326408554149,0.08642089370751341,0.02720719184175629,Financials
MAR,Marriott Intl,0.7618677216047683,Strongly Undervalued,12.120281111486992,5.5549301044135735,0.24914675654624643,-0.08955574761818297,Consumer Discretionary
HD,Home Depot,0.8097931061164217,Strongly Undervalued,12.132449191456796,5.988227808969005,0.17923453832185107,-0.0212038615961542,Consumer Discretionary
LOW,Lowes Companies,0.853599940977121,Strongly Undervalued,17.396767882675434,5.055243106580235,0.29849670043167503,0.043811235068154375,Consumer Discretionary
TJX,TJX Companies,0.8682298711657757,Strongly Undervalued,13.411041423545367,6.260833838903714,0.11163275910109516,0.007864536677652745,Consumer Discretionary
F,Ford Motor,0.8868494269686558,Strongly Undervalued,26.12047244948142,2.983956497133973,0.13003380016340832,0.1136005593197921,Consumer Discretionary
GM,General Motors,1.0088289207233803,Fairly Valued,24.19694906473064,3.974704898599373,0.25974283833091494,0.10223345613041993,Consumer Discretionary
MCD,McDonalds Corp.,1.0430656508226361,Fairly Valued,32.700531838154255,5.9090599590551465,0.2561051030487723,0.02574949797767284,Consumer Discretionary
SBUX,Starbucks Corp.,1.063796631598122,Overvalued,13.826645486746692,9.30650510239246,0.13837346494374858,0.08303163502458336,Consumer Discretionary
ROST,Ross Stores,1.1270164100992364,Overvalued,24.53561913462958,6.6155747441978985,0.10863474715940234,-0.03286092381649086,Consumer Discretionary
NKE,Nike Inc.,1.1477243662119536,Overvalued,33.492028616526824,4.565627837013638,0.19717435183726512,-0.1035803593898594,Consumer Discretionary
PG,Procter & Gamble,0.8108900408341279,Strongly Undervalued,16.001757628746304,5.869334227874018,0.30697939542229347,0.019145058812747764,Consumer Staples
KO,Coca-Cola Co.,0.9016482894285323,Undervalued,20.585538565606157,4.975309522852401,0.18722028356925546,0.05260257979822194,Consumer Staples
PEP,PepsiCo Inc.,0.9080867156800899,Undervalued,20.344242833809183,4.058727801144542,0.1543646793550979,-0.04919398751115044,Consumer Staples
PM,Philip Morris,0.9506466950065494,Undervalued,20.557365942967998,4.2163311519502065,0.2619511367276765,0.041548559724662315,Consumer Staples
KMB,Kimberly-Clark,0.9641919781092164,Undervalued,19.704090211666802,5.054421762456851,0.17800481951066352,-0.09939884016791584,Consumer Staples
MO,Altria Group,1.0642060015259442,Overvalued,16.641441640338535,7.654894324331967,0.2872654393372195,-0.03943786466065374,Consumer Staples
WMT,Walmart Inc.,1.1662125506443113,Strongly Overvalued,27.53819650071055,9.257927970055093,0.2074275916169151,0.05815227008765089,Consumer Staples
MDLZ,Mondelez Intl,1.1779228868398868,Strongly Overvalued,26.934995178588956,7.188502390084311,0.20844364609237953,0.0740507679132256,Consumer Staples
